hour,is_weekend,sin_hour,cos_hour,lag_1,lag_12,lag_24,roll_mean_6,roll_std_6,roll_mean_12,roll_std_12,roll_mean_24,roll_std_24,roll_mean_48,roll_std_48,power_factor,reactive_power,voltage
0.0,-0.08069573955288295,0.0,0.0,0.12064175501531804,0.007449030691677758,0.021606958843898905,0.21219090873719038,0.0024158392959940495,0.1274942810289099,-0.0015151843139121141,0.059242470266530484,0.024304493531458783,0.0515072825582157,0.041432362889269624,0.7738180517500212,0.14855533178142674,-0.03694576313049691
0.0,-0.07930318814991262,0.0,0.0,0.12323393199450006,0.007734052123173091,0.020235688243082386,0.21020244203413155,0.0015192995695817231,0.13126180809198382,-0.0020388054956872823,0.0588116910683409,0.02407601372319574,0.052481661401885184,0.04255511129854055,0.7811584766393278,0.15050948270535097,-0.03741052429365664
0.0,-0.080564697267086,0.0,0.0,0.11209606824916767,0.010485873648854798,0.01921607139150951,0.20937157257097624,0.0006708659864110821,0.12705363513140813,-0.0017560163366787884,0.052211389555533554,0.027037190822968963,0.043248827931669266,0.04616906975106588,0.7911971975600621,0.1546120723810853,-0.037606612410632206
0.0,-0.08155223651390349,0.0,0.0,0.119713802772428,0.008417186136811132,0.021675255891951118,0.20899992527042927,0.002276251057911458,0.11848142629065282,-0.0017947366760543053,0.053612250365475796,0.028833300872489694,0.041205500127790194,0.04250911301046154,0.7843533922156547,0.15575702266460525,-0.038259496749306635
0.0,0.18775421095516437,0.0,0.0,0.12986106167861644,0.011185291107012768,0.017242835016595844,0.24343413370833458,0.002572131519168523,0.1474733007775729,0.004726355696109766,0.067662499178409,0.03084040263317348,0.05671248941132247,0.055811059426032227,0.7715532656994414,0.15826253854942093,-0.04770562946358478
0.0,0.18564739827712934,0.0,0.0,0.12781304963584095,0.010133109788601848,0.0168033181635556,0.24378558140140488,-0.00027619039010919294,0.1501893281702247,0.005460867674917183,0.06499243281752148,0.03178481765450034,0.05826142650485033,0.05672791634157244,0.7743158995347397,0.17381391353703504,-0.04713335962334822
0.0,-0.0842484088651975,0.0,0.0,0.1331115825255998,0.007888410320832581,0.020148439243813827,0.20878291306938931,0.0023900453597586547,0.11402563825526076,-0.0056112896891697414,0.05272583632129802,0.0244117079559647,0.0403053643401484,0.0427860119109628,0.7926395273617122,0.14594490008567146,-0.03973730683626196
0.0,-0.08137432451205437,0.0,0.0,0.12189966437902552,0.00844302969325189,0.021598931945174683,0.210185262930029,0.0029707038082343925,0.11852282806161828,-0.005616865819008815,0.05316760575187681,0.028063873074989233,0.04263371382811758,0.044018803382695156,0.7945594217199397,0.149363787399426,-0.03899815337498019
0.0,-0.08149596534885156,0.0,0.0,0.12460604875026364,0.009231294724639974,0.01891752985971107,0.21064033055404746,0.002876015427447926,0.11891003556917039,-0.005388095679992161,0.05185899672263867,0.030253945843644103,0.0430418543983651,0.04385256175908888,0.7908150268106299,0.14743695241977495,-0.037813215078135565
0.0,-0.0814259618498393,0.0,0.0,0.13004485907549387,0.00827469384813646,0.019276411308074618,0.2064536362445231,0.0028174177618109425,0.11576780187592693,-0.006142025344755075,0.05091308333992299,0.023870032080833416,0.042706759367333424,0.04201396644162651,0.7914228290826335,0.14122286458199215,-0.04067341519560275
0.0,-0.07824368206056428,0.0,0.0,0.12143281017112345,0.008384480383100315,0.020019647411567927,0.20823119923302977,0.001849586030998389,0.11810194448287008,-0.0055300558961559896,0.051555737688346856,0.02895366260595468,0.043279163302420334,0.04195696559169163,0.7908400351815155,0.1452278466834425,-0.04063829770475631
0.0,0.18340721691421807,0.0,0.0,0.13843128337281826,0.015100829477548906,0.014931122680244298,0.22751712701010884,0.0033194158513320873,0.14222925490580893,0.0006168524825732169,0.060965014710342796,0.029506171344514106,0.05724331005954635,0.05345476817093061,0.76797637560585,0.14885097672521547,-0.047247323070438135
0.0,0.1807623639394088,0.0,0.0,0.13078865241511006,0.008575184995363389,0.013780774005357963,0.22882472016760505,-0.0005840445898816763,0.14781756502175616,-0.0006633636461003766,0.06179985834749216,0.0291814308089306,0.05944784240034607,0.05375141775425025,0.7597842599079335,0.1547966827535342,-0.04798354196914131
0.0,-0.07980420833080731,0.0,0.0,0.1301639690757862,0.015073941650226732,0.018499524253030055,0.2113298811849225,0.000799435468039527,0.1257669913523349,-0.005374580989556343,0.05316736250572538,0.02882715614352674,0.04744325400219884,0.04348292185311471,0.7934617222048407,0.14457385589367971,-0.03834332213473075
0.0,-0.07998707101570567,0.0,0.0,0.12552067300310368,0.012799160986955382,0.02054697609385558,0.2115885540790203,0.0014380029273251941,0.1260256425016789,-0.005137120229563189,0.053622679557526816,0.0299121845212139,0.04707528121835625,0.04401311705546273,0.7885142377083509,0.14745281553214074,-0.03950713149281483
0.0,-0.07981700227489369,0.0,0.0,0.13033713005114533,0.012852114453943648,0.017563313684007043,0.21402035070351033,-0.001542594190467788,0.12724408449098737,-0.00372344001935363,0.05226611409856426,0.027861808633076107,0.04555811597269614,0.0432935650193347,0.788947129377179,0.14715023859797494,-0.03827509892225578
0.0,-0.07891370292979738,0.0,0.0,0.13207184520590268,0.00673650761411523,0.020140085279946467,0.210514636092141,0.00200561577006157,0.12648249711383167,-0.003032785615209712,0.053646628874614,0.02747417855857688,0.04589913170323158,0.0423780615474846,0.7809514794328811,0.14308718072887744,-0.039013266377624284
0.0,-0.07649769754085484,0.0,0.0,0.1272649157917758,0.009103075115600958,0.019443839917153337,0.2105359970798335,0.0010075051990004393,0.1294250236443832,-0.003020560999486186,0.05303137790784158,0.030169666773176458,0.04634386752210474,0.04239984099059097,0.7840600340923967,0.14473889212881344,-0.037909672494779334
0.0,0.18108685095554294,0.0,0.0,0.13726475120110082,0.010306863677095476,0.01568635373939803,0.22870345903683872,0.0019667366568615753,0.14920973786078465,0.003608016007875829,0.061092623002804845,0.03006192627347612,0.05926090417415436,0.05270489125520287,0.7614499258762641,0.1705500013467822,-0.04701719810889051
